Voltage, 1st Stark (cm-1), 2nd Stark (cm-1)
00100,0.001361,0.000001
00200,0.002721,0.000004
00300,0.004082,0.000010
00400,0.005442,0.000018
00500,0.006803,0.000028
00600,0.008163,0.000040
00700,0.009524,0.000054
00800,0.010884,0.000071
00900,0.012245,0.000090
01000,0.013605,0.000111
01100,0.014966,0.000134
01200,0.016326,0.000160
01300,0.017687,0.000188
01400,0.019047,0.000217
01500,0.020408,0.000250
01600,0.021768,0.000284
01700,0.023129,0.000321
01800,0.024489,0.000360
01900,0.025850,0.000401
02000,0.027210,0.000444
02100,0.028571,0.000489
02200,0.029931,0.000537
02300,0.031292,0.000587
02400,0.032652,0.000639
02500,0.034013,0.000694
02600,0.035374,0.000750
02700,0.036734,0.000809
02800,0.038095,0.000870
02900,0.039455,0.000933
03000,0.040816,0.000999
03100,0.042176,0.001066
03200,0.043537,0.001136
03300,0.044897,0.001208
03400,0.046258,0.001283
03500,0.047618,0.001359
03600,0.048979,0.001438
03700,0.050339,0.001519
03800,0.051700,0.001602
03900,0.053060,0.001688
04000,0.054421,0.001775
04100,0.055781,0.001865
04200,0.057142,0.001957
04300,0.058502,0.002052
04400,0.059863,0.002148
04500,0.061223,0.002247
04600,0.062584,0.002348
04700,0.063944,0.002451
04800,0.065305,0.002557
04900,0.066665,0.002664
05000,0.068026,0.002774
05100,0.069386,0.002886
05200,0.070747,0.003001
05300,0.072108,0.003117
05400,0.073468,0.003236
05500,0.074829,0.003357
05600,0.076189,0.003480
05700,0.077550,0.003605
05800,0.078910,0.003733
05900,0.080271,0.003863
06000,0.081631,0.003995
06100,0.082992,0.004129
06200,0.084352,0.004266
06300,0.085713,0.004404
06400,0.087073,0.004545
06500,0.088434,0.004688
06600,0.089794,0.004834
06700,0.091155,0.004981
06800,0.092515,0.005131
06900,0.093876,0.005283
07000,0.095236,0.005437
07100,0.096597,0.005594
07200,0.097957,0.005753
07300,0.099318,0.005913
07400,0.100678,0.006077
07500,0.102039,0.006242
07600,0.103399,0.006409
07700,0.104760,0.006579
07800,0.106121,0.006751
07900,0.107481,0.006925
08000,0.108842,0.007102
08100,0.110202,0.007281
08200,0.111563,0.007461
08300,0.112923,0.007645
08400,0.114284,0.007830
08500,0.115644,0.008017
08600,0.117005,0.008207
08700,0.118365,0.008399
08800,0.119726,0.008593
08900,0.121086,0.008790
09000,0.122447,0.008988
09100,0.123807,0.009189
09200,0.125168,0.009392
09300,0.126528,0.009598
09400,0.127889,0.009805
09500,0.129249,0.010015
09600,0.130610,0.010227
09700,0.131970,0.010441
09800,0.133331,0.010657
09900,0.134691,0.010876
10000,0.136052,0.011097
