Voltage, 1st Stark (cm-1), 2nd Stark (cm-1)
00100,0.001361,0.000001
00200,0.002721,0.000004
00300,0.004082,0.000010
00400,0.005442,0.000018
00500,0.006803,0.000028
00600,0.008163,0.000040
00700,0.009524,0.000054
00800,0.010884,0.000071
00900,0.012245,0.000090
01000,0.013605,0.000111
01100,0.014966,0.000134
01200,0.016326,0.000160
01300,0.017687,0.000188
01400,0.019047,0.000217
01500,0.020408,0.000250
01600,0.021768,0.000284
01700,0.023129,0.000321
01800,0.024489,0.000360
01900,0.025850,0.000401
02000,0.027210,0.000444
02100,0.028571,0.000489
02200,0.029931,0.000537
02300,0.031292,0.000587
02400,0.032652,0.000639
02500,0.034013,0.000694
02600,0.035374,0.000750
02700,0.036734,0.000809
02800,0.038095,0.000870
02900,0.039455,0.000933
03000,0.040816,0.000999
03100,0.042176,0.001066
03200,0.043537,0.001136
03300,0.044897,0.001208
03400,0.046258,0.001283
03500,0.047618,0.001359
03600,0.048979,0.001438
03700,0.050339,0.001519
03800,0.051700,0.001602
03900,0.053060,0.001688
04000,0.054421,0.001775
04100,0.055781,0.001865
04200,0.057142,0.001957
04300,0.058502,0.002052
04400,0.059863,0.002148
04500,0.061223,0.002247
04600,0.062584,0.002348
04700,0.063944,0.002451
04800,0.065305,0.002557
04900,0.066665,0.002664
05000,0.068026,0.002774
05100,0.069386,0.002886
05200,0.070747,0.003001
05300,0.072108,0.003117
05400,0.073468,0.003236
05500,0.074829,0.003357
05600,0.076189,0.003480
05700,0.077550,0.003605
05800,0.078910,0.003733
05900,0.080271,0.003863
06000,0.081631,0.003995
06100,0.082992,0.004129
06200,0.084352,0.004266
06300,0.085713,0.004404
06400,0.087073,0.004545
06500,0.088434,0.004688
06600,0.089794,0.004834
06700,0.091155,0.004981
06800,0.092515,0.005131
06900,0.093876,0.005283
07000,0.095236,0.005437
07100,0.096597,0.005594
07200,0.097957,0.005753
07300,0.099318,0.005913
07400,0.100678,0.006077
07500,0.102039,0.006242
07600,0.103399,0.006409
07700,0.104760,0.006579
07800,0.106121,0.006751
07900,0.107481,0.006925
08000,0.108842,0.007102
08100,0.110202,0.007281
08200,0.111563,0.007461
08300,0.112923,0.007645
08400,0.114284,0.007830
08500,0.115644,0.008017
08600,0.117005,0.008207
08700,0.118365,0.008399
08800,0.119726,0.008593
08900,0.121086,0.008790
09000,0.122447,0.008988
09100,0.123807,0.009189
09200,0.125168,0.009392
09300,0.126528,0.009598
09400,0.127889,0.009805
09500,0.129249,0.010015
09600,0.130610,0.010227
09700,0.131970,0.010441
09800,0.133331,0.010657
09900,0.134691,0.010876
10000,0.136052,0.011097
10100,0.137412,0.011320
10200,0.138773,0.011545
10300,0.140134,0.011773
10400,0.141494,0.012002
10500,0.142855,0.012234
10600,0.144215,0.012468
10700,0.145576,0.012705
10800,0.146936,0.012943
10900,0.148297,0.013184
11000,0.149657,0.013427
11100,0.151018,0.013672
11200,0.152378,0.013920
11300,0.153739,0.014169
11400,0.155099,0.014421
11500,0.156460,0.014675
11600,0.157820,0.014932
11700,0.159181,0.015190
11800,0.160541,0.015451
11900,0.161902,0.015714
12000,0.163262,0.015979
12100,0.164623,0.016247
12200,0.165983,0.016516
12300,0.167344,0.016788
12400,0.168704,0.017062
12500,0.170065,0.017339
12600,0.171425,0.017617
12700,0.172786,0.017898
12800,0.174146,0.018181
12900,0.175507,0.018466
13000,0.176868,0.018754
13100,0.178228,0.019043
13200,0.179589,0.019335
13300,0.180949,0.019629
13400,0.182310,0.019925
13500,0.183670,0.020224
13600,0.185031,0.020525
13700,0.186391,0.020828
13800,0.187752,0.021133
13900,0.189112,0.021440
14000,0.190473,0.021750
14100,0.191833,0.022061
14200,0.193194,0.022376
14300,0.194554,0.022692
14400,0.195915,0.023010
14500,0.197275,0.023331
14600,0.198636,0.023654
14700,0.199996,0.023979
14800,0.201357,0.024306
14900,0.202717,0.024636
15000,0.204078,0.024968
15100,0.205438,0.025302
15200,0.206799,0.025638
15300,0.208159,0.025976
15400,0.209520,0.026317
15500,0.210881,0.026660
15600,0.212241,0.027005
15700,0.213602,0.027352
15800,0.214962,0.027702
15900,0.216323,0.028054
16000,0.217683,0.028408
16100,0.219044,0.028764
16200,0.220404,0.029122
16300,0.221765,0.029483
16400,0.223125,0.029846
16500,0.224486,0.030211
16600,0.225846,0.030578
16700,0.227207,0.030948
16800,0.228567,0.031319
16900,0.229928,0.031693
17000,0.231288,0.032070
17100,0.232649,0.032448
17200,0.234009,0.032829
17300,0.235370,0.033211
17400,0.236730,0.033597
17500,0.238091,0.033984
17600,0.239451,0.034373
17700,0.240812,0.034765
17800,0.242172,0.035159
17900,0.243533,0.035555
18000,0.244894,0.035953
18100,0.246254,0.036354
18200,0.247615,0.036757
18300,0.248975,0.037162
18400,0.250336,0.037569
18500,0.251696,0.037979
18600,0.253057,0.038390
18700,0.254417,0.038804
18800,0.255778,0.039220
18900,0.257138,0.039639
19000,0.258499,0.040059
19100,0.259859,0.040482
19200,0.261220,0.040907
19300,0.262580,0.041334
19400,0.263941,0.041764
19500,0.265301,0.042195
19600,0.266662,0.042629
19700,0.268022,0.043065
19800,0.269383,0.043504
19900,0.270743,0.043944
20000,0.272104,0.044387
