Voltage, 1st Stark (cm-1), 2nd Stark (cm-1)
00001,0.000000,0.000000
00101,0.000029,0.000000
00201,0.000116,0.000000
00301,0.000259,0.000000
00401,0.000458,0.000001
00501,0.000712,0.000001
00601,0.001019,0.000002
00701,0.001377,0.000002
00801,0.001785,0.000003
00901,0.002240,0.000004
01001,0.002740,0.000004
01101,0.003283,0.000005
01201,0.003866,0.000006
01301,0.004487,0.000008
01401,0.005145,0.000009
01501,0.005836,0.000010
01601,0.006559,0.000011
01701,0.007312,0.000013
01801,0.008092,0.000014
01901,0.008898,0.000016
02001,0.009728,0.000018
02101,0.010581,0.000020
02201,0.011455,0.000022
02301,0.012348,0.000024
02401,0.013260,0.000026
02501,0.014189,0.000028
02601,0.015133,0.000030
02701,0.016093,0.000032
02801,0.017066,0.000035
02901,0.018052,0.000037
03001,0.019051,0.000040
03101,0.020060,0.000043
03201,0.021081,0.000046
03301,0.022111,0.000048
03401,0.023150,0.000051
03501,0.024199,0.000054
03601,0.025255,0.000058
03701,0.026319,0.000061
03801,0.027391,0.000064
03901,0.028469,0.000068
04001,0.029554,0.000071
04101,0.030645,0.000075
04201,0.031741,0.000078
04301,0.032843,0.000082
04401,0.033950,0.000086
04501,0.035062,0.000090
04601,0.036179,0.000094
04701,0.037300,0.000098
04801,0.038425,0.000102
04901,0.039554,0.000107
05001,0.040687,0.000111
05101,0.041823,0.000116
05201,0.042962,0.000120
05301,0.044105,0.000125
05401,0.045251,0.000130
05501,0.046399,0.000135
05601,0.047551,0.000139
05701,0.048705,0.000144
05801,0.049862,0.000150
05901,0.051021,0.000155
06001,0.052182,0.000160
06101,0.053345,0.000165
06201,0.054511,0.000171
06301,0.055679,0.000176
06401,0.056848,0.000182
06501,0.058020,0.000188
06601,0.059193,0.000194
06701,0.060368,0.000200
06801,0.061544,0.000206
06901,0.062722,0.000212
07001,0.063902,0.000218
07101,0.065083,0.000224
07201,0.066265,0.000231
07301,0.067449,0.000237
07401,0.068634,0.000243
07501,0.069820,0.000250
07601,0.071008,0.000257
07701,0.072197,0.000264
07801,0.073386,0.000271
07901,0.074577,0.000278
08001,0.075769,0.000285
08101,0.076962,0.000292
08201,0.078156,0.000299
08301,0.079350,0.000306
08401,0.080546,0.000314
08501,0.081743,0.000321
08601,0.082940,0.000329
08701,0.084138,0.000337
08801,0.085337,0.000344
08901,0.086537,0.000352
09001,0.087738,0.000360
09101,0.088939,0.000368
09201,0.090141,0.000376
09301,0.091343,0.000385
09401,0.092547,0.000393
09501,0.093750,0.000401
09601,0.094955,0.000410
09701,0.096160,0.000418
09801,0.097366,0.000427
09901,0.098572,0.000436
10001,0.099779,0.000445
