Voltage, 1st Stark (cm-1), 2nd Stark (cm-1)
00001,0.005918,0.000000
00101,0.005919,0.000000
00201,0.005920,0.000000
00301,0.005921,0.000000
00401,0.005924,0.000000
00501,0.005927,0.000000
00601,0.005930,0.000000
00701,0.005935,0.000000
00801,0.005940,0.000000
00901,0.005945,0.000000
01001,0.005952,0.000000
01101,0.005959,0.000000
01201,0.005966,0.000000
01301,0.005975,0.000000
01401,0.005983,0.000000
01501,0.005993,0.000000
01601,0.006003,0.000000
01701,0.006014,0.000000
01801,0.006026,0.000000
01901,0.006038,0.000000
02001,0.006051,0.000000
02101,0.006064,0.000000
02201,0.006078,0.000000
02301,0.006093,0.000000
02401,0.006109,0.000000
02501,0.006125,0.000000
02601,0.006141,0.000000
02701,0.006159,0.000000
02801,0.006177,0.000000
02901,0.006195,0.000000
03001,0.006214,0.000000
03101,0.006234,0.000000
03201,0.006254,0.000000
03301,0.006275,0.000000
03401,0.006297,0.000000
03501,0.006319,0.000000
03601,0.006342,0.000000
03701,0.006366,0.000000
03801,0.006390,0.000000
03901,0.006414,0.000000
04001,0.006439,0.000000
04101,0.006465,0.000000
04201,0.006492,0.000000
04301,0.006518,0.000000
04401,0.006546,0.000000
04501,0.006574,0.000000
04601,0.006603,0.000000
04701,0.006632,0.000000
04801,0.006662,0.000000
04901,0.006692,0.000000
05001,0.006723,0.000000
05101,0.006754,0.000000
05201,0.006786,0.000000
05301,0.006819,0.000000
05401,0.006852,0.000000
05501,0.006885,0.000000
05601,0.006920,0.000000
05701,0.006954,0.000000
05801,0.006989,0.000000
05901,0.007025,0.000000
06001,0.007061,0.000000
06101,0.007098,0.000000
06201,0.007135,0.000000
06301,0.007173,0.000000
06401,0.007211,0.000000
06501,0.007249,0.000000
06601,0.007289,0.000000
06701,0.007328,0.000000
06801,0.007368,0.000000
06901,0.007409,0.000000
07001,0.007450,0.000000
07101,0.007491,0.000000
07201,0.007533,0.000000
07301,0.007576,0.000000
07401,0.007618,0.000000
07501,0.007662,0.000000
07601,0.007705,0.000000
07701,0.007750,0.000000
07801,0.007794,0.000000
07901,0.007839,0.000000
08001,0.007885,0.000000
08101,0.007930,0.000000
08201,0.007977,0.000000
08301,0.008023,0.000000
08401,0.008070,0.000000
08501,0.008118,0.000000
08601,0.008166,0.000000
08701,0.008214,0.000000
08801,0.008263,0.000000
08901,0.008312,0.000000
09001,0.008361,0.000000
09101,0.008411,0.000000
09201,0.008461,0.000000
09301,0.008512,0.000000
09401,0.008563,0.000000
09501,0.008614,0.000000
09601,0.008666,0.000000
09701,0.008718,0.000000
09801,0.008770,0.000000
09901,0.008823,0.000000
10001,0.008876,0.000000
10101,0.008929,0.000000
10201,0.008983,0.000000
10301,0.009037,0.000000
10401,0.009092,0.000000
10501,0.009146,0.000000
10601,0.009201,0.000000
10701,0.009257,0.000000
10801,0.009313,0.000000
10901,0.009369,0.000000
11001,0.009425,0.000000
11101,0.009481,0.000000
11201,0.009538,0.000000
11301,0.009596,0.000000
11401,0.009653,0.000000
11501,0.009711,0.000000
11601,0.009769,0.000000
11701,0.009827,0.000000
11801,0.009886,0.000000
11901,0.009945,0.000000
12001,0.010004,0.000000
12101,0.010064,0.000000
12201,0.010123,0.000000
12301,0.010183,0.000000
12401,0.010244,0.000000
12501,0.010304,0.000000
12601,0.010365,0.000000
12701,0.010426,0.000000
12801,0.010488,0.000000
12901,0.010549,0.000000
13001,0.010611,0.000000
13101,0.010673,0.000000
13201,0.010735,0.000000
13301,0.010798,0.000000
13401,0.010861,0.000000
13501,0.010924,0.000000
13601,0.010987,0.000000
13701,0.011050,0.000000
13801,0.011114,0.000000
13901,0.011178,0.000000
14001,0.011242,0.000000
14101,0.011306,0.000000
14201,0.011371,0.000000
14301,0.011436,0.000000
14401,0.011501,0.000000
14501,0.011566,0.000000
14601,0.011631,0.000000
14701,0.011697,0.000000
14801,0.011763,0.000000
14901,0.011829,0.000000
15001,0.011895,0.000000
15101,0.011962,0.000000
15201,0.012028,0.000000
15301,0.012095,0.000000
15401,0.012162,0.000000
15501,0.012229,0.000000
15601,0.012296,0.000000
15701,0.012364,0.000000
15801,0.012432,0.000000
15901,0.012500,0.000000
16001,0.012568,0.000000
16101,0.012636,0.000000
16201,0.012704,0.000000
16301,0.012773,0.000000
16401,0.012842,0.000000
16501,0.012911,0.000000
16601,0.012980,0.000000
16701,0.013049,0.000000
16801,0.013118,0.000000
16901,0.013188,0.000000
17001,0.013258,0.000000
17101,0.013328,0.000000
17201,0.013398,0.000000
17301,0.013468,0.000000
17401,0.013538,0.000000
17501,0.013609,0.000000
17601,0.013679,0.000000
17701,0.013750,0.000000
17801,0.013821,0.000000
17901,0.013892,0.000000
18001,0.013964,0.000000
18101,0.014035,0.000000
18201,0.014106,0.000000
18301,0.014178,0.000000
18401,0.014250,0.000000
18501,0.014322,0.000000
18601,0.014394,0.000000
18701,0.014466,0.000000
18801,0.014538,0.000000
18901,0.014611,0.000000
19001,0.014683,0.000000
19101,0.014756,0.000000
19201,0.014829,0.000000
19301,0.014902,0.000000
19401,0.014975,0.000000
19501,0.015048,0.000000
19601,0.015121,0.000000
19701,0.015195,0.000000
19801,0.015268,0.000000
19901,0.015342,0.000000
20001,0.015416,0.000000
